"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","up_down_width","initial",52,3,2,1.74237849999918,0.7,0.4,0.35,0.45,1.86473680002382,1.8,"exp2",-1,-0.05,-0.333333333333333,0.875,1.2,0.7,-0.5,-0.125,0.05
"p301","up_down_width","initial",1,3,2,2.72562720003771,0.7,0.55,0.4,0.35,2.51958670001477,1.95,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","match",2,5,5,2.26236990001053,0.525,0.4,0.3,0.2,2.15469919994939,2.5,"exp2",0,-0.1,0,0.75,2,1.5,-0.5,-0.25,0.1
"p301","up_down_width","initial",3,5,4,1.29131459997734,0.9,0.55,0.35,0.4,2.40600540000014,4.15,"exp2",-1,-0.2,-0.2,0.636363636363636,2.75,1.4,-1.35,-0.363636363636364,0.2
"p301","up_down_width","initial",4,3,2,2.49346799997147,0.7,0.4,0.3,0.2,1.89677049999591,1.8,"exp2",-1,-0.1,-0.333333333333333,0.75,1.2,0.6,-0.6,-0.25,0.1
"p301","up_down_width","match",5,3,3,2.56553229998099,2.2,0.55,0.35,0.3,1.42230109998491,4.95,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","up_down_width","match",6,5,5,2.15241499996046,0.8625,0.25,0.15,0.25,2.32078990002628,3.7,"exp2",0,-0.1,0,0.6,1.25,0.75,-0.5,-0.4,0.1
"p301","up_down_width","match",7,4,3,2.43974780000281,0.466666666666667,0.4,0.3,0.25,1.52493730001152,1.8,"exp2",-1,-0.1,-0.25,0.75,1.6,0.9,-0.7,-0.25,0.1
"p301","up_down_width","match",8,5,5,1.73826349998126,0.825,0.55,0.3,0.3,1.78043639997486,3.85,"exp2",0,-0.25,0,0.545454545454545,2.75,1.5,-1.25,-0.454545454545455,0.25
"p301","up_down_width","initial",9,4,4,1.77503630000865,1.1,0.4,0.35,0.3,1.14410909998696,3.7,"exp2",0,-0.05,0,0.875,1.6,1.4,-0.2,-0.125,0.05
"p301","up_down_width","initial",10,3,2,1.8159139000345,1.1,0.55,0.4,0.4,1.3904311999795,2.75,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","initial",11,4,4,1.47492639999837,0.7,0.55,0.4,0.5,1.78264879999915,2.65,"exp2",0,-0.15,0,0.727272727272727,2.2,1.6,-0.6,-0.272727272727273,0.15
"p301","up_down_width","match",12,4,3,2.03513520001434,0.6,0.25,0.2,0.3,2.54455439996673,2.05,"exp2",-1,-0.05,-0.25,0.8,1,0.6,-0.4,-0.2,0.05
"p301","up_down_width","match",13,3,3,1.76195549999829,2.2,0.4,0.25,0.45,3.45088309998391,4.8,"exp2",0,-0.15,0,0.625,1.2,0.75,-0.45,-0.375,0.15
"p301","up_down_width","match",14,4,3,3.98264460003702,0.6,0.4,0.35,0.55,2.68612209998537,2.2,"exp2",-1,-0.05,-0.25,0.875,1.6,1.05,-0.55,-0.125,0.05
"p301","up_down_width","initial",15,4,4,2.42727669997839,1.1,0.25,0.2,0.4,4.00958940002602,3.55,"exp2",0,-0.0499999999999999,0,0.8,1,0.8,-0.2,-0.2,0.0499999999999999
"p301","up_down_width","initial",16,4,3,2.10106760001509,0.7,0.4,0.25,0.5,3.05623749998631,2.5,"exp2",-1,-0.15,-0.25,0.625,1.6,0.75,-0.85,-0.375,0.15
"p301","up_down_width","match",17,3,3,2.60589470004197,2.2,0.25,0.2,0.5,4.5328364999732,4.65,"exp2",0,-0.0499999999999999,0,0.8,0.75,0.6,-0.15,-0.2,0.0499999999999999
"p301","up_down_width","initial",18,3,2,1.6926026000292,1.1,0.25,0.2,0.4,1.97572210000362,2.45,"exp2",-1,-0.0499999999999999,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.0499999999999999
"p301","up_down_width","initial",19,3,3,2.19638099998701,1.1,0.4,0.25,0.4,1.66097179998178,2.6,"exp2",0,-0.15,0,0.625,1.2,0.75,-0.45,-0.375,0.15
"p301","up_down_width","initial",20,4,4,1.97952580003766,0.9,0.55,0.3,0.2,2.50774820003426,3.25,"exp2",0,-0.25,0,0.545454545454545,2.2,1.2,-1,-0.454545454545455,0.25
"p301","up_down_width","match",21,5,5,1.56583620002493,0.525,0.25,0.2,0.2,2.22220960003324,2.35,"exp2",0,-0.05,0,0.8,1.25,1,-0.25,-0.2,0.05
"p301","up_down_width","initial",22,3,2,2.05696600000374,0.9,0.25,0.2,0.45,2.32491409999784,2.05,"exp2",-1,-0.0499999999999999,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.0499999999999999
"p301","up_down_width","initial",23,4,4,2.07548370002769,1.1,0.55,0.3,0.55,2.32752370001981,3.85,"exp2",0,-0.25,0,0.545454545454546,2.2,1.2,-1,-0.454545454545455,0.25
"p301","up_down_width","match",24,5,5,2.04885369999101,0.675,0.25,0.15,0.3,2.30177999997977,2.95,"exp2",0,-0.1,0,0.6,1.25,0.75,-0.5,-0.4,0.1
"p301","up_down_width","initial",25,3,2,1.7010737999808,0.7,0.25,0.15,0.3,2.67190620000474,1.65,"exp2",-1,-0.1,-0.333333333333333,0.6,0.75,0.3,-0.45,-0.4,0.1
"p301","up_down_width","initial",26,5,5,2.00856550002936,1.1,0.55,0.4,0.25,1.95927789999405,4.95,"exp2",0,-0.15,0,0.727272727272727,2.75,2,-0.75,-0.272727272727273,0.15
"p301","up_down_width","match",27,5,4,2.61840559996199,0.675,0.55,0.4,0.3,1.80924609996146,3.25,"exp2",-1,-0.15,-0.2,0.727272727272727,2.75,1.6,-1.15,-0.272727272727273,0.15
"p301","up_down_width","match",28,4,4,1.57964619999984,0.466666666666667,0.25,0.15,0.25,2.31567949999589,1.65,"exp2",0,-0.1,0,0.6,1,0.6,-0.4,-0.4,0.1
"p301","up_down_width","initial",29,5,5,2.486512100033,0.9,0.4,0.25,0.4,2.44930390000809,4,"exp2",0,-0.15,0,0.625,2,1.25,-0.75,-0.375,0.15
"p301","up_down_width","match",30,4,4,3.09151040000143,0.6,0.55,0.45,0.3,2.19872970000142,2.35,"exp2",0,-0.1,0,0.818181818181818,2.2,1.8,-0.4,-0.181818181818182,0.1
"p301","up_down_width","initial",31,3,2,1.6402602000162,0.9,0.4,0.4,0.45,2.99709039996378,2.2,"exp2",-1,0,-0.333333333333333,1,1.2,0.8,-0.4,0,0
"p301","up_down_width","initial",32,4,3,1.41824989998713,0.9,0.25,0.2,0.45,3.66431389999343,2.95,"exp2",-1,-0.0499999999999999,-0.25,0.8,1,0.6,-0.4,-0.2,0.0499999999999999
"p301","up_down_width","initial",33,5,4,1.79947880003601,0.7,0.4,0.4,0.5,2.04655760002788,3.2,"exp2",-1,0,-0.2,1,2,1.6,-0.4,0,0
"p301","up_down_width","initial",34,3,2,1.63775610004086,0.9,0.55,0.45,0.55,1.74746990000131,2.35,"exp2",-1,-0.1,-0.333333333333333,0.818181818181818,1.65,0.9,-0.75,-0.181818181818182,0.1
